Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2016-17 
CALPADS Fall 1 
Certification Status"
2016-2017,01,31617,0131763,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,State Special Schools,State Special Schools,State Special School,Provision 2,No ,N/A,N/A,N,P,12,380,357,93.9%,357,93.9%,307,285,92.8%,285,92.8%,Y
2016-2017,01,61119,0000001,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31,5,16.1%,6,19.4%,28,5,17.9%,6,21.4%,Y
2016-2017,01,61119,0106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,183,30,16.4%,40,21.9%,179,29,16.2%,38,21.2%,Y
2016-2017,01,61119,0111765,Alameda,Alameda Unified,Ruby Bridges Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,483,267,55.3%,313,64.8%,483,267,55.3%,313,64.8%,Y
2016-2017,01,61119,0119222,Alameda,Alameda Unified,Nea Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,1066,Directly funded,Y,K,12,528,144,27.3%,166,31.4%,524,142,27.1%,164,31.3%,Y
2016-2017,01,61119,0122085,Alameda,Alameda Unified,The Academy of Alameda,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1181,Directly funded,Y,6,8,511,159,31.1%,177,34.6%,511,159,31.1%,177,34.6%,Y
2016-2017,01,61119,0126656,Alameda,Alameda Unified,Maya Lin,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,8,328,73,22.3%,91,27.7%,328,73,22.3%,91,27.7%,Y
2016-2017,01,61119,0130229,Alameda,Alameda Unified,Alameda High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1786,282,15.8%,338,18.9%,1714,267,15.6%,321,18.7%,Y
2016-2017,01,61119,0130609,Alameda,Alameda Unified,Alameda Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,0352,Directly funded,Y,6,12,374,80,21.4%,88,23.5%,364,79,21.7%,87,23.9%,Y
2016-2017,01,61119,0130625,Alameda,Alameda Unified,Alternatives in Action,Unified School District,High Schools (Public),Traditional,N/A,Yes,0398,Directly funded,Y,9,12,171,152,88.9%,166,97.1%,144,128,88.9%,140,97.2%,Y
2016-2017,01,61119,0131805,Alameda,Alameda Unified,The Academy of Alameda Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1718,Directly funded,Y,K,5,134,54,40.3%,61,45.5%,133,53,39.8%,60,45.1%,Y
2016-2017,01,61119,0132142,Alameda,Alameda Unified,Encinal Junior/Senior High,Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,12,1343,476,35.4%,549,40.9%,1302,457,35.1%,527,40.5%,Y
2016-2017,01,61119,0134304,Alameda,Alameda Unified,Island High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,128,55,43.0%,55,43.0%,97,35,36.1%,35,36.1%,Y
2016-2017,01,61119,6090005,Alameda,Alameda Unified,Donald D. Lum Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,498,108,21.7%,128,25.7%,480,107,22.3%,127,26.5%,Y
2016-2017,01,61119,6090013,Alameda,Alameda Unified,Edison Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,452,44,9.7%,51,11.3%,452,44,9.7%,51,11.3%,Y
2016-2017,01,61119,6090021,Alameda,Alameda Unified,Frank Otis Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,582,64,11.0%,85,14.6%,582,64,11.0%,85,14.6%,Y
2016-2017,01,61119,6090039,Alameda,Alameda Unified,Franklin Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,338,43,12.7%,53,15.7%,338,43,12.7%,53,15.7%,Y
2016-2017,01,61119,6090047,Alameda,Alameda Unified,Henry Haight Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,440,189,43.0%,232,52.7%,416,180,43.3%,223,53.6%,Y
2016-2017,01,61119,6090054,Alameda,Alameda Unified,Lincoln Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,833,87,10.4%,116,13.9%,833,87,10.4%,116,13.9%,Y
2016-2017,01,61119,6090112,Alameda,Alameda Unified,Will C. Wood Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,510,199,39.0%,232,45.5%,510,199,39.0%,232,45.5%,Y
2016-2017,01,61119,6090120,Alameda,Alameda Unified,William G. Paden Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,301,117,38.9%,139,46.2%,288,114,39.6%,135,46.9%,Y
2016-2017,01,61119,6100374,Alameda,Alameda Unified,Amelia Earhart Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,610,46,7.5%,54,8.9%,600,45,7.5%,53,8.8%,Y
2016-2017,01,61119,6110779,Alameda,Alameda Unified,Bay Farm,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,637,50,7.8%,59,9.3%,637,50,7.8%,59,9.3%,Y
2016-2017,01,61127,0000001,Alameda,Albany City Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,0,0.0%,0,0.0%,2,0,0.0%,0,0.0%,Y
2016-2017,01,61127,0130294,Alameda,Albany City Unified,MacGregor High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,10,12,7,2,28.6%,3,42.9%,7,2,28.6%,3,42.9%,Y
2016-2017,01,61127,0130450,Alameda,Albany City Unified,Albany High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1164,149,12.8%,212,18.2%,1138,143,12.6%,203,17.8%,Y
2016-2017,01,61127,6090146,Alameda,Albany City Unified,Cornell Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,544,46,8.5%,61,11.2%,544,46,8.5%,61,11.2%,Y
2016-2017,01,61127,6090161,Alameda,Albany City Unified,Albany Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,919,94,10.2%,141,15.3%,919,94,10.2%,141,15.3%,Y
2016-2017,01,61127,6095376,Alameda,Albany City Unified,Marin Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,505,46,9.1%,60,11.9%,505,46,9.1%,60,11.9%,Y
2016-2017,01,61127,6116222,Alameda,Albany City Unified,Ocean View Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,560,131,23.4%,164,29.3%,543,126,23.2%,159,29.3%,Y
2016-2017,01,61143,0000001,Alameda,Berkeley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14,2,14.3%,2,14.3%,12,2,16.7%,2,16.7%,Y
2016-2017,01,61143,0122689,Alameda,Berkeley Unified,REALM Charter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1254,Directly funded,Y,6,8,249,136,54.6%,175,70.3%,249,136,54.6%,175,70.3%,Y
2016-2017,01,61143,0122697,Alameda,Berkeley Unified,REALM Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1255,Directly funded,Y,9,12,347,201,57.9%,229,66.0%,338,198,58.6%,226,66.9%,Y
2016-2017,01,61143,0131177,Alameda,Berkeley Unified,Berkeley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,3018,684,22.7%,841,27.9%,2916,650,22.3%,803,27.5%,Y
2016-2017,01,61143,0134924,Alameda,Berkeley Unified,Berkeley Technology Academy,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,10,12,62,36,58.1%,41,66.1%,52,30,57.7%,33,63.5%,Y
2016-2017,01,61143,6056857,Alameda,Berkeley Unified,Martin Luther King Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1022,217,21.2%,268,26.2%,1022,217,21.2%,268,26.2%,Y
2016-2017,01,61143,6056865,Alameda,Berkeley Unified,Willard Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,592,189,31.9%,242,40.9%,592,189,31.9%,242,40.9%,Y
2016-2017,01,61143,6090187,Alameda,Berkeley Unified,Rosa Parks Environmental Science Magnet,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,445,101,22.7%,114,25.6%,445,101,22.7%,114,25.6%,Y
2016-2017,01,61143,6090195,Alameda,Berkeley Unified,Cragmont Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,394,110,27.9%,135,34.3%,394,110,27.9%,135,34.3%,Y
2016-2017,01,61143,6090211,Alameda,Berkeley Unified,Emerson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,304,104,34.2%,115,37.8%,304,104,34.2%,115,37.8%,Y
2016-2017,01,61143,6090252,Alameda,Berkeley Unified,Jefferson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,407,103,25.3%,119,29.2%,407,103,25.3%,119,29.2%,Y
2016-2017,01,61143,6090278,Alameda,Berkeley Unified,Leconte Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,367,112,30.5%,148,40.3%,347,106,30.5%,141,40.6%,Y
2016-2017,01,61143,6090286,Alameda,Berkeley Unified,Malcolm X Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,554,118,21.3%,139,25.1%,531,115,21.7%,135,25.4%,Y
2016-2017,01,61143,6090294,Alameda,Berkeley Unified,Longfellow Arts and Technology Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,514,271,52.7%,302,58.8%,514,271,52.7%,302,58.8%,Y
2016-2017,01,61143,6090302,Alameda,Berkeley Unified,Oxford Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,301,85,28.2%,105,34.9%,301,85,28.2%,105,34.9%,Y
2016-2017,01,61143,6090310,Alameda,Berkeley Unified,Thousand Oaks Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,427,161,37.7%,195,45.7%,427,161,37.7%,195,45.7%,Y
2016-2017,01,61143,6090328,Alameda,Berkeley Unified,Washington Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,483,141,29.2%,164,34.0%,471,136,28.9%,157,33.3%,Y
2016-2017,01,61143,6097729,Alameda,Berkeley Unified,Berkeley Arts Magnet at Whittier,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,437,115,26.3%,139,31.8%,437,115,26.3%,139,31.8%,Y
2016-2017,01,61143,6105316,Alameda,Berkeley Unified,John Muir Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,302,98,32.5%,120,39.7%,302,98,32.5%,120,39.7%,Y
2016-2017,01,61150,0000001,Alameda,Castro Valley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,3,25.0%,3,25.0%,11,3,27.3%,3,27.3%,Y
2016-2017,01,61150,0130047,Alameda,Castro Valley Unified,Roy A. Johnson High,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,9,12,26,4,15.4%,4,15.4%,0,0,0.0%,0,0.0%,Y
2016-2017,01,61150,0132225,Alameda,Castro Valley Unified,Castro Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2920,457,15.7%,643,22.0%,2861,438,15.3%,621,21.7%,Y
2016-2017,01,61150,0133876,Alameda,Castro Valley Unified,Castro Valley Virtual Academy,Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,12,6,0,0.0%,0,0.0%,6,0,0.0%,0,0.0%,Y
2016-2017,01,61150,0135533,Alameda,Castro Valley Unified,Redwood Continuation High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,117,39,33.3%,42,35.9%,113,38,33.6%,41,36.3%,Y
2016-2017,01,61150,6090351,Alameda,Castro Valley Unified,Castro Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,478,157,32.8%,201,42.1%,452,156,34.5%,199,44.0%,Y
2016-2017,01,61150,6090369,Alameda,Castro Valley Unified,Chabot Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,469,70,14.9%,98,20.9%,469,70,14.9%,98,20.9%,Y
2016-2017,01,61150,6090385,Alameda,Castro Valley Unified,Creekside Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,784,126,16.1%,178,22.7%,784,126,16.1%,178,22.7%,Y
2016-2017,01,61150,6090393,Alameda,Castro Valley Unified,Independent Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,656,80,12.2%,100,15.2%,627,80,12.8%,100,15.9%,Y
2016-2017,01,61150,6090401,Alameda,Castro Valley Unified,Marshall Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,475,121,25.5%,161,33.9%,475,121,25.5%,161,33.9%,Y
2016-2017,01,61150,6090419,Alameda,Castro Valley Unified,Palomares Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,143,15,10.5%,16,11.2%,143,15,10.5%,16,11.2%,Y
2016-2017,01,61150,6090435,Alameda,Castro Valley Unified,Proctor Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,490,49,10.0%,74,15.1%,490,49,10.0%,74,15.1%,Y
2016-2017,01,61150,6090468,Alameda,Castro Valley Unified,Stanton Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,457,102,22.3%,144,31.5%,445,98,22.0%,140,31.5%,Y
2016-2017,01,61150,6090484,Alameda,Castro Valley Unified,Vannoy Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,464,56,12.1%,68,14.7%,464,56,12.1%,68,14.7%,Y
2016-2017,01,61150,6097653,Alameda,Castro Valley Unified,Canyon Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1436,245,17.1%,323,22.5%,1436,245,17.1%,323,22.5%,Y
2016-2017,01,61150,6113005,Alameda,Castro Valley Unified,Jensen Ranch Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,425,20,4.7%,27,6.4%,425,20,4.7%,27,6.4%,Y
2016-2017,01,61168,0000001,Alameda,Emery Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,50.0%,1,50.0%,2,1,50.0%,1,50.0%,Y
2016-2017,01,61168,0132746,Alameda,Emery Unified,Emery Secondary,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,177,98,55.4%,122,68.9%,174,97,55.7%,121,69.5%,Y
2016-2017,01,61168,6090492,Alameda,Emery Unified,Anna Yates Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,508,295,58.1%,358,70.5%,503,293,58.3%,355,70.6%,Y
2016-2017,01,61176,0000001,Alameda,Fremont Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39,6,15.4%,6,15.4%,32,6,18.8%,6,18.8%,Y
2016-2017,01,61176,0127233,Alameda,Fremont Unified,Young Adult Program,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,9,12,33,1,3.0%,1,3.0%,1,1,100.0%,1,100.0%,Y
2016-2017,01,61176,0130062,Alameda,Fremont Unified,American High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2200,286,13.0%,367,16.7%,2164,274,12.7%,351,16.2%,Y
2016-2017,01,61176,0130138,Alameda,Fremont Unified,Robertson High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,161,65,40.4%,72,44.7%,129,50,38.8%,56,43.4%,Y
2016-2017,01,61176,0130435,Alameda,Fremont Unified,Vista Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,7,12,31,9,29.0%,9,29.0%,30,9,30.0%,9,30.0%,Y
2016-2017,01,61176,0130534,Alameda,Fremont Unified,Circle of Independent Learning,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,0152,Locally funded,N,K,12,339,40,11.8%,54,15.9%,329,40,12.2%,54,16.4%,Y
2016-2017,01,61176,0134270,Alameda,Fremont Unified,Irvington High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2249,220,9.8%,270,12.0%,2217,212,9.6%,262,11.8%,Y
2016-2017,01,61176,0134452,Alameda,Fremont Unified,John F. Kennedy High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1385,385,27.8%,522,37.7%,1346,373,27.7%,506,37.6%,Y
2016-2017,01,61176,0135244,Alameda,Fremont Unified,Mission San Jose High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2003,59,2.9%,73,3.6%,1987,56,2.8%,69,3.5%,Y
2016-2017,01,61176,0138693,Alameda,Fremont Unified,Washington High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1897,330,17.4%,422,22.2%,1847,318,17.2%,409,22.1%,Y
2016-2017,01,61176,6000541,Alameda,Fremont Unified,John Blacow Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,435,125,28.7%,169,38.9%,427,125,29.3%,169,39.6%,Y
2016-2017,01,61176,6000558,Alameda,Fremont Unified,Brier Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,743,215,28.9%,277,37.3%,719,212,29.5%,272,37.8%,Y
2016-2017,01,61176,6000566,Alameda,Fremont Unified,Cabrillo Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,448,159,35.5%,208,46.4%,448,159,35.5%,208,46.4%,Y
2016-2017,01,61176,6000590,Alameda,Fremont Unified,E. M. Grimmer Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,476,160,33.6%,222,46.6%,476,160,33.6%,222,46.6%,Y
2016-2017,01,61176,6000624,Alameda,Fremont Unified,Glenmoor Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,653,167,25.6%,204,31.2%,653,167,25.6%,204,31.2%,Y
2016-2017,01,61176,6000640,Alameda,Fremont Unified,Harvey Green Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,485,74,15.3%,106,21.9%,471,74,15.7%,105,22.3%,Y
2016-2017,01,61176,6000665,Alameda,Fremont Unified,J. Haley Durham Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,616,154,25.0%,196,31.8%,602,153,25.4%,194,32.2%,Y
2016-2017,01,61176,6000673,Alameda,Fremont Unified,James Leitch Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,3,902,14,1.6%,21,2.3%,874,13,1.5%,20,2.3%,Y
2016-2017,01,61176,6000681,Alameda,Fremont Unified,Joseph Azevada Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,641,89,13.9%,134,20.9%,640,89,13.9%,134,20.9%,Y
2016-2017,01,61176,6000715,Alameda,Fremont Unified,Tom Maloney Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,573,101,17.6%,124,21.6%,562,101,18.0%,124,22.1%,Y
2016-2017,01,61176,6000723,Alameda,Fremont Unified,John G. Mattos Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,630,72,11.4%,80,12.7%,630,72,11.4%,80,12.7%,Y
2016-2017,01,61176,6000749,Alameda,Fremont Unified,Mission Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,677,36,5.3%,45,6.6%,677,36,5.3%,45,6.6%,Y
2016-2017,01,61176,6000756,Alameda,Fremont Unified,Niles Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,579,46,7.9%,59,10.2%,579,46,7.9%,59,10.2%,Y
2016-2017,01,61176,6000764,Alameda,Fremont Unified,O. N. Hirsch Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,563,101,17.9%,114,20.2%,561,101,18.0%,114,20.3%,Y
2016-2017,01,61176,6000798,Alameda,Fremont Unified,Parkmont Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,903,47,5.2%,68,7.5%,854,42,4.9%,62,7.3%,Y
2016-2017,01,61176,6000806,Alameda,Fremont Unified,Patterson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,635,125,19.7%,161,25.4%,635,125,19.7%,161,25.4%,Y
2016-2017,01,61176,6000830,Alameda,Fremont Unified,Vallejo Mill Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,526,90,17.1%,117,22.2%,513,90,17.5%,117,22.8%,Y
2016-2017,01,61176,6000848,Alameda,Fremont Unified,Warm Springs Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,3,6,1109,54,4.9%,65,5.9%,1109,54,4.9%,65,5.9%,Y
2016-2017,01,61176,6056873,Alameda,Fremont Unified,Centerville Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,948,205,21.6%,266,28.1%,948,205,21.6%,266,28.1%,Y
2016-2017,01,61176,6056881,Alameda,Fremont Unified,G. M. Walters Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,691,225,32.6%,293,42.4%,691,225,32.6%,293,42.4%,Y
2016-2017,01,61176,6056907,Alameda,Fremont Unified,John M. Horner Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1199,108,9.0%,141,11.8%,1199,108,9.0%,141,11.8%,Y
2016-2017,01,61176,6056915,Alameda,Fremont Unified,Thornton Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1278,161,12.6%,206,16.1%,1278,161,12.6%,206,16.1%,Y
2016-2017,01,61176,6056923,Alameda,Fremont Unified,William Hopkins Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1119,42,3.8%,54,4.8%,1119,42,3.8%,54,4.8%,Y
